name,description,category,city,country,address,phone,menu_url,image_url,image_url_2,image_url_3,logo_url,tags,latitude,longitude
Garwe Restauarant,,traditional_and_Organic_foods,Harare,Zimbabwe,,,,,,,,"cuisine=traditional_and_Organic_foods, takeaway=yes",-17.8293292,31.0763235
Gava’s Restaurant,,african,Harare,Zimbabwe,,,,,,,,cuisine=african,-17.7967795,31.0435623
Gelato Crema,,Ice Cream,Harare,Zimbabwe,,,,,,,,,-17.7616403,31.0873193
Giovanni's,,coffee_shop,Harare,Zimbabwe,,,,,,,,cuisine=coffee_shop,-17.7633609,31.0513673
Gouveias Portuguese Restaurant,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8395164,31.111504
Great Wall-chinese,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.7955901,31.0425662
Grill Shack - Hungry Panda Express Chinese Cuisine,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8038167,31.0372693
HOT plate Grill house,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8226754,31.0503345
Hungry Panda,,chinese,Harare,Zimbabwe,,,,,,,,cuisine=chinese,-17.8031848,31.0372339
Indian Joint,,indian,Harare,Zimbabwe,,,,,,,,cuisine=indian,-17.8076601,31.0357996
Innscor,,"burger,_pizza,_chicken,_bakery",Harare,Zimbabwe,,,,,,,,"cuisine=burger,_pizza,_chicken,_bakery, takeaway=yes",-17.7939128,31.0443511
Innscor Chisipite,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.7829421,31.1194501
Innscor Parkwell,,Pizza_Chicken_Ice_Cream,Harare,Zimbabwe,,,,,,,,"cuisine=Pizza_Chicken_Ice_Cream, takeaway=yes",-17.7692688,31.0338237
Jongwe Corner Bar,,Bar,Harare,Zimbabwe,Arlington Road,,,,,,,,-17.8849451,31.0723221
Kapoto,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.7933505,31.042805
KFC,,chicken,Harare,Zimbabwe,,,,,,,,"cuisine=chicken, takeaway=yes",-17.761922,30.9790624
KFC,,chicken,Harare,Zimbabwe,,,,,,,,"cuisine=chicken, takeaway=yes",-17.8319943,31.0478493
KFC,,chicken,Harare,Zimbabwe,,,,,,,,"cuisine=chicken, takeaway=yes",-17.7946292,31.044736
KFC Simon Mazorodze,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8616923,31.0277347
Kow Lee Chinese Take aways,,chinese,Harare,Zimbabwe,,+263 24 2302671,,,,,,"cuisine=chinese, outdoor_seating=yes, takeaway=only, delivery=yes",-17.8035493,31.0369789
Kow Lee Chinese Take aways,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8034399,31.036951
Kwame,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8262726,31.054813
La Pizzeria,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8003042,31.0346771
Little Mereki,,Cafe,Harare,Zimbabwe,,,,,,,,,-17.8307943,31.031251
Lluigee's,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.7605127,31.0873202
Londoners Sports Bar,,Bar,Harare,Zimbabwe,Suffolk Road,+263912444885,,,,,,,-17.7960492,31.022326
Luculus,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8185724,31.0546186
Lugar De Pollo,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.7623038,31.087684
Lush,,Restaurant,Harare,Zimbabwe,1 Brompton Road,,"https://flowto.it/Aoca9qzv
https://www.countryclub.co.zw/",,,,,,-17.8126395,31.0886537
Maestro,Shisha Bar,bar_and_grill,Harare,Zimbabwe,146b Enterprise Road,,,,,,,"cuisine=bar_and_grill, takeaway=yes",-17.7952929,31.1027784
Maize & Mingle,,"american, coffee_shop",Harare,Zimbabwe,136 Arcturus Road,+263786484161,,,,,,cuisine=american;coffee_shop,-17.8055655,31.1109763
Mashwede Village,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8919933,30.9616945
Mastones,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8875593,30.9999598
mega 2,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8905607,31.0764835
Megga 2,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8905048,31.0767957
Meleki,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8385517,30.959145
Metsi’s Restaurant,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8326097,31.042835
MicJop,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8893354,30.9523751
MR BURGER,,burger,Harare,Zimbabwe,Julius Nyerere Way,,,,,,,cuisine=burger,-17.8279861,31.0470853
Mr Pie,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.7998416,31.0345405
Mugg & Bean,,Cafe,Harare,Zimbabwe,Avondale,,,,,,,,-17.8024564,31.0376204
Nando's,,chicken,Harare,Zimbabwe,Samora Machel Avenue,,,,,,,cuisine=chicken,-17.8244896,31.0566013
Nando's,,portuguese,Harare,Zimbabwe,King George Road Avondale,,,,,,,cuisine=portuguese,-17.8028743,31.0373559
Nandos Samora Machel,,"chicken, portuguese",Harare,Zimbabwe,142 Samora Machel Avenue CBD,,,,,,,cuisine=chicken;portuguese,-17.8244875,31.0566206
Nush Pizzeria,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8024372,31.0385135
Pa Sadza,,Zimbabwean,Harare,Zimbabwe,,,,,,,,"cuisine=Zimbabwean, takeaway=yes",-17.8245873,31.058694
Pablo's,,Bar,Harare,Zimbabwe,,,,,,,,,-17.7606291,31.0883631
Pahuku,,Restaurant,Harare,Zimbabwe,,,,,,,,outdoor_seating=yes,-17.8374943,31.076254
Parkview,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8233093,31.0459633
Patridge Bottle Store,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8721202,31.0248696
Paula’s Place,,Restaurant,Harare,Zimbabwe,Samora Machel Road,,,,,,,,-17.8238597,31.0930815
Pelican Bay,,Cafe,Harare,Zimbabwe,48 Van Praagh Avenue,,,,,,,,-17.815392,31.0311904
Picobello's,,"italian, pasta, pizza",Harare,Zimbabwe,47 Glenara Avenue North,,,,,,,"cuisine=italian;pasta;pizza, takeaway=yes",-17.8124247,31.0948048
Pizza Hut Fife Avenue,,"italian, pizza",Harare,Zimbabwe,Fifth Street,,,,,,,cuisine=italian;pizza,-17.8183211,31.0539487
Pizza Inn,,pizza,Harare,Zimbabwe,,,,,,,,cuisine=pizza,-17.8206395,31.0758968
Pizza Inn,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8181463,31.0478654
Pizza Inn,,pizza,Harare,Zimbabwe,,,,,,,,"cuisine=pizza, takeaway=yes",-17.8387661,31.1140855
Pizza Inn,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.7623527,31.0875565
Pizza Inn,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8418959,31.0708214
Pizza slice,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8039441,31.0379824
Pogos,,pizza,Harare,Zimbabwe,,,,,,,,cuisine=pizza,-17.8386273,31.112107
Pointe -portugese,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.817984,31.0502155
Polytechnic Canteen,,international,Harare,Zimbabwe,,,,,,,,cuisine=international,-17.8257605,31.0347656
Position Grill,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8011956,31.0365169
Position Sports Bar,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8013811,31.036261
Red Fox,,Pub,Harare,Zimbabwe,Greendale Avenue,,,,,,,,-17.8249485,31.1018283
Roadside,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8566085,30.9748531
Rock grill and bar,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8452892,31.125959
Roco Mamas,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.7623841,31.0874146
Sabai Thai,,thai,Harare,Zimbabwe,,+263 24 2852695,,,,,,cuisine=thai,-17.76729,31.1102419
Sadza,,Cafe,Harare,Zimbabwe,Kwame Nkrumah Avenue,,,,,,,,-17.825391,31.0594269
Sadza kuna 7th,,Cafe,Harare,Zimbabwe,Seventh Street,,,,,,,,-17.8248079,31.0604302
Shishawarma Halal Restaurant,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.80057,31.0343767
Skull and Skud,,Bar,Harare,Zimbabwe,,,,,,,,,-17.7579555,31.0654252
Sopranos,,Cafe,Harare,Zimbabwe,6 Argyle Road,+2634333833,,,,,,,-17.8027193,31.0360363
Sorella's Pizzeria and Cafe,,pizza,Harare,Zimbabwe,1 Fisher Avenue,0778842088,https://m.facebook.com/sorellaspizza,,,,,cuisine=pizza,-17.7661294,31.111871
Southerton Shops,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8699889,31.0093701
Spaceman Bar,,Bar,Harare,Zimbabwe,,,,,,,,,-17.9017365,30.9642567
Spar Westlea,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8202028,30.9770876
Speed Pool and Drinks Place,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8086189,30.9439461
Spice Lounge,,Restaurant,Harare,Zimbabwe,Lezard Avenue,,,,,,,,-17.8106094,31.0350115
Spook House,,Bar_and_Grill,Harare,Zimbabwe,190 Samora Machel Avenue,,,,,,,"cuisine=Bar_and_Grill, takeaway=yes",-17.8425734,31.1292566
St Elmo's,,"italian, pizza",Harare,Zimbabwe,East Road,,,,,,,"cuisine=italian;pizza, takeaway=yes",-17.796873,31.0424729
Steers,,steak_house,Harare,Zimbabwe,Enterprise Road,,,,,,,"cuisine=steak_house, takeaway=yes, delivery=yes",-17.8098515,31.0743003
supermarket n bar,,Bar,Harare,Zimbabwe,Nherera Street,,,,,,,,-17.8091714,30.9242193
Tea Room,,Cafe,Harare,Zimbabwe,,,,,,,,,-17.8018266,31.0535604
The Avon,,Bar,Harare,Zimbabwe,Lonsdale Road East,,,,,,,,-17.804718,31.0409974
The Forest at ART,,Cafe,Harare,Zimbabwe,,,,,,,,outdoor_seating=yes,-17.7361239,31.0513263
The Jam Tree,,Bar,Harare,Zimbabwe,40 Bargate Road,+263778173286,https://www.facebook.com/thejamtreeharare,,,,,,-17.7578786,31.0653669
The Plot Cafe,,Cafe,Harare,Zimbabwe,Carrick Creagh Road,,,,,,,,-17.7305021,31.1146836
The Spice Rach,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8019423,31.0365876
Tin Roof,,Biergarten,Harare,Zimbabwe,,,,,,,,,-17.7887168,31.1097059
Tipperary Steak House,,Cafe,Harare,Zimbabwe,Fife Avenue,,,,,,,,-17.8213357,31.043927
Tom's Take Away,,Cafe,Harare,Zimbabwe,81 Sam Nujoma Street (2nd St. Extension),,,,,,,,-17.8219592,31.0495435
Utano Cafe and Restaurant,,Restaurant,Harare,Zimbabwe,30 Bath Road,+263 77 266 7503; +263 77 412 0138,,,,,,,-17.8018991,31.0399827
Vasili Bakery & Café,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8081128,31.0340364
XO,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8029536,31.0372578
